CD_PROV_REFNIS,CD_AGE,MS_POPULATION
10000,0,9234
10000,1,9015
10000,2,8754
10000,3,8859
10000,4,8673
10000,5,8975
10000,6,8735
10000,7,8764
10000,8,8492
10000,9,8329
10000,10,8079
10000,11,7746
10000,12,7462
10000,13,7233
10000,14,7021
10000,15,6723
10000,16,6735
10000,17,6862
10000,18,6778
10000,19,6828
10000,20,7121
10000,21,7155
10000,22,7472
10000,23,8085
10000,24,8862
10000,25,9816
10000,26,10430
10000,27,10873
10000,28,10652
10000,29,10684
10000,30,10408
10000,31,10125
10000,32,10194
10000,33,10086
10000,34,9874
10000,35,9691
10000,36,9548
10000,37,9700
10000,38,9283
10000,39,9059
10000,40,8808
10000,41,8498
10000,42,8216
10000,43,8152
10000,44,8112
10000,45,8303
10000,46,8344
10000,47,8446
10000,48,8186
10000,49,8182
10000,50,7780
10000,51,7992
10000,52,8130
10000,53,8272
10000,54,7987
10000,55,7697
10000,56,7614
10000,57,7587
10000,58,7641
10000,59,7462
10000,60,7100
10000,61,7080
10000,62,6867
10000,63,6731
10000,64,6301
10000,65,6257
10000,66,5688
10000,67,5601
10000,68,5580
10000,69,5550
10000,70,5421
10000,71,5684
10000,72,4735
10000,73,5051
10000,74,4599
10000,75,4147
10000,76,3587
10000,77,3884
10000,78,4095
10000,79,4111
10000,80,3836
10000,81,3634
10000,82,3486
10000,83,3371
10000,84,2997
10000,85,2995
10000,86,2761
10000,87,2499
10000,88,2153
10000,89,1783
10000,90,1455
10000,91,1206
10000,92,977
10000,93,779
10000,94,607
10000,95,423
10000,96,319
10000,97,257
10000,98,107
10000,99,57
10000,100,93
20001,0,3860
20001,1,3731
20001,2,3779
20001,3,3860
20001,4,3626
20001,5,3666
20001,6,3518
20001,7,3569
20001,8,3474
20001,9,3395
20001,10,3300
20001,11,3187
20001,12,3042
20001,13,2961
20001,14,2879
20001,15,2712
20001,16,2671
20001,17,2782
20001,18,2922
20001,19,2935
20001,20,3300
20001,21,3552
20001,22,3947
20001,23,4241
20001,24,4967
20001,25,5575
20001,26,5712
20001,27,5798
20001,28,5764
20001,29,5667
20001,30,5494
20001,31,5189
20001,32,4903
20001,33,4847
20001,34,4739
20001,35,4540
20001,36,4349
20001,37,4612
20001,38,4417
20001,39,4238
20001,40,4144
20001,41,4089
20001,42,3912
20001,43,3862
20001,44,3823
20001,45,3706
20001,46,3638
20001,47,3758
20001,48,3634
20001,49,3526
20001,50,3317
20001,51,3419
20001,52,3278
20001,53,3367
20001,54,3228
20001,55,3130
20001,56,3084
20001,57,3109
20001,58,2978
20001,59,2812
20001,60,2771
20001,61,2753
20001,62,2615
20001,63,2445
20001,64,2393
20001,65,2320
20001,66,2129
20001,67,2039
20001,68,1919
20001,69,1882
20001,70,1861
20001,71,1746
20001,72,1625
20001,73,1570
20001,74,1489
20001,75,1315
20001,76,1121
20001,77,1246
20001,78,1238
20001,79,1163
20001,80,1151
20001,81,1117
20001,82,1087
20001,83,1084
20001,84,928
20001,85,903
20001,86,861
20001,87,820
20001,88,682
20001,89,637
20001,90,496
20001,91,429
20001,92,340
20001,93,266
20001,94,209
20001,95,172
20001,96,134
20001,97,80
20001,98,43
20001,99,26
20001,100,34
20002,0,322
20002,1,323
20002,2,326
20002,3,369
20002,4,343
20002,5,368
20002,6,366
20002,7,372
20002,8,369
20002,9,394
20002,10,408
20002,11,411
20002,12,403
20002,13,366
20002,14,406
20002,15,394
20002,16,436
20002,17,390
20002,18,405
20002,19,369
20002,20,433
20002,21,449
20002,22,445
20002,23,426
20002,24,460
20002,25,458
20002,26,448
20002,27,390
20002,28,388
20002,29,416
20002,30,377
20002,31,388
20002,32,400
20002,33,382
20002,34,401
20002,35,363
20002,36,371
20002,37,406
20002,38,443
20002,39,392
20002,40,387
20002,41,411
20002,42,395
20002,43,410
20002,44,440
20002,45,458
20002,46,494
20002,47,474
20002,48,461
20002,49,447
20002,50,478
20002,51,493
20002,52,507
20002,53,467
20002,54,503
20002,55,473
20002,56,472
20002,57,499
20002,58,434
20002,59,484
20002,60,459
20002,61,454
20002,62,457
20002,63,411
20002,64,428
20002,65,422
20002,66,409
20002,67,387
20002,68,437
20002,69,407
20002,70,429
20002,71,428
20002,72,291
20002,73,327
20002,74,268
20002,75,245
20002,76,244
20002,77,223
20002,78,244
20002,79,253
20002,80,250
20002,81,227
20002,82,204
20002,83,194
20002,84,195
20002,85,151
20002,86,166
20002,87,128
20002,88,119
20002,89,97
20002,90,81
20002,91,69
20002,92,54
20002,93,51
20002,94,46
20002,95,31
20002,96,22
20002,97,17
20002,98,6
20002,99,4
20002,100,7
30000,0,2976
30000,1,3110
30000,2,3095
30000,3,3172
30000,4,3162
30000,5,3145
30000,6,3260
30000,7,3254
30000,8,3300
30000,9,3344
30000,10,3260
30000,11,3207
30000,12,3195
30000,13,3057
30000,14,3075
30000,15,3088
30000,16,3205
30000,17,3386
30000,18,3213
30000,19,3562
30000,20,3668
30000,21,3775
30000,22,3829
30000,23,3954
30000,24,4017
30000,25,4234
30000,26,4142
30000,27,3993
30000,28,4117
30000,29,4001
30000,30,3866
30000,31,3883
30000,32,3776
30000,33,3884
30000,34,3850
30000,35,3896
30000,36,4012
30000,37,4097
30000,38,3961
30000,39,3867
30000,40,3880
30000,41,3756
30000,42,3667
30000,43,3931
30000,44,3855
30000,45,4129
30000,46,4377
30000,47,4381
30000,48,4379
30000,49,4330
30000,50,4372
30000,51,4575
30000,52,4699
30000,53,4842
30000,54,4717
30000,55,4706
30000,56,4730
30000,57,4623
30000,58,4662
30000,59,4643
30000,60,4420
30000,61,4478
30000,62,4304
30000,63,4289
30000,64,4130
30000,65,4017
30000,66,3898
30000,67,3785
30000,68,3799
30000,69,3791
30000,70,3729
30000,71,4075
30000,72,3509
30000,73,3495
30000,74,3172
30000,75,2787
30000,76,2518
30000,77,2751
30000,78,3040
30000,79,2942
30000,80,2873
30000,81,2628
30000,82,2409
30000,83,2262
30000,84,2164
30000,85,2109
30000,86,1934
30000,87,1640
30000,88,1471
30000,89,1186
30000,90,1008
30000,91,855
30000,92,712
30000,93,542
30000,94,426
30000,95,322
30000,96,241
30000,97,155
30000,98,80
30000,99,37
30000,100,57
40000,0,4787
40000,1,4894
40000,2,4863
40000,3,4950
40000,4,4774
40000,5,4938
40000,6,4942
40000,7,4868
40000,8,4884
40000,9,4804
40000,10,4632
40000,11,4507
40000,12,4394
40000,13,4411
40000,14,4108
40000,15,4083
40000,16,4083
40000,17,4245
40000,18,4326
40000,19,4305
40000,20,4578
40000,21,4716
40000,22,4972
40000,23,5381
40000,24,6254
40000,25,6946
40000,26,7531
40000,27,7521
40000,28,7407
40000,29,7169
40000,30,6856
40000,31,6608
40000,32,6287
40000,33,6222
40000,34,6122
40000,35,6168
40000,36,6212
40000,37,6339
40000,38,6062
40000,39,5915
40000,40,5517
40000,41,5632
40000,42,5366
40000,43,5226
40000,44,5108
40000,45,5430
40000,46,5519
40000,47,5573
40000,48,5388
40000,49,5260
40000,50,5257
