CD_PROV_REFNIS,CD_AGE,MS_POPULATION
10000,0,20053
10000,1,20349
10000,2,20252
10000,3,21211
10000,4,21107
10000,5,21784
10000,6,21802
10000,7,22224
10000,8,21784
10000,9,21892
10000,10,21199
10000,11,20736
10000,12,20302
10000,13,19793
10000,14,19373
10000,15,19030
10000,16,19018
10000,17,19695
10000,18,19816
10000,19,20043
10000,20,20394
10000,21,20602
10000,22,21104
10000,23,21505
10000,24,22499
10000,25,23602
10000,26,23897
10000,27,24407
10000,28,23833
10000,29,24072
10000,30,23878
10000,31,23612
10000,32,23687
10000,33,23997
10000,34,24355
10000,35,24258
10000,36,24510
10000,37,24878
10000,38,24324
10000,39,23724
10000,40,23282
10000,41,22361
10000,42,22065
10000,43,22419
10000,44,23072
10000,45,23994
10000,46,25019
10000,47,25600
10000,48,25239
10000,49,25471
10000,50,25290
10000,51,26295
10000,52,26872
10000,53,27537
10000,54,27353
10000,55,26804
10000,56,26526
10000,57,25712
10000,58,26130
10000,59,24894
10000,60,24216
10000,61,23484
10000,62,22990
10000,63,22316
10000,64,21347
10000,65,21069
10000,66,19402
10000,67,19378
10000,68,19146
10000,69,18739
10000,70,18649
10000,71,18891
10000,72,16051
10000,73,16220
10000,74,14968
10000,75,13156
10000,76,11532
10000,77,12483
10000,78,13024
10000,79,13252
10000,80,12186
10000,81,11418
10000,82,10851
10000,83,10075
10000,84,9406
10000,85,8851
10000,86,8164
10000,87,7264
10000,88,6128
10000,89,5068
10000,90,4133
10000,91,3436
10000,92,2690
10000,93,2095
10000,94,1598
10000,95,1148
10000,96,844
10000,97,619
10000,98,279
10000,99,133
10000,100,251
20001,0,28720
20001,1,29146
20001,2,29200
20001,3,29741
20001,4,29463
20001,5,29772
20001,6,29418
20001,7,30184
20001,8,29490
20001,9,29084
20001,10,28613
20001,11,28166
20001,12,27310
20001,13,26726
20001,14,26013
20001,15,25357
20001,16,25447
20001,17,25655
20001,18,26062
20001,19,26061
20001,20,26929
20001,21,27578
20001,22,28305
20001,23,29414
20001,24,31092
20001,25,32855
20001,26,33850
20001,27,34557
20001,28,34396
20001,29,34575
20001,30,34364
20001,31,33800
20001,32,33162
20001,33,33623
20001,34,33447
20001,35,34025
20001,36,33818
20001,37,34996
20001,38,34064
20001,39,33757
20001,40,33349
20001,41,32518
20001,42,31526
20001,43,32143
